Source,Target,Drugclass,Weight
Blood and lymphatic system disorders ,Ustekinumab,Anti-IL-12/23,1
Blood and lymphatic system disorders ,Vedolizumab,Anti-integrin,2
Blood and lymphatic system disorders ,Infliximab,Anti-TNF,1
Cardiac disorders,Adalimumab,Anti-TNF,1
Cardiac disorders,Adalimumab,Anti-TNF,1
Cardiac disorders,Infliximab,Anti-TNF,1
Cardiac disorders,Ustekinumab,Anti-IL-12/23,1
Cardiac disorders,Infliximab,Anti-TNF,1
Cardiac disorders,Infliximab,Anti-TNF,1
Endocrine disorders,Infliximab,Anti-TNF,1
Endocrine disorders,Vedolizumab,Anti-integrin,1
Eye disorders ,Adalimumab,Anti-TNF,1
Failure of Intended Efficacy ,Adalimumab,Anti-TNF,31
Failure of Intended Efficacy ,Adalimumab,Anti-TNF,74
Failure of Intended Efficacy ,Certolizumab,Anti-TNF,9
Failure of Intended Efficacy ,Etanercept,Anti-TNF,1
Failure of Intended Efficacy ,Golimumab,Anti-TNF,2
Failure of Intended Efficacy ,Infliximab,Anti-TNF,102
Failure of Intended Efficacy ,Tofacitnib,JAK-inhibitor,6
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,35
Failure of Intended Efficacy ,Vedolizumab,Anti-integrin,70
Failure of Intended Efficacy ,Certolizumab,Anti-TNF,9
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,34
Failure of Intended Efficacy ,Vedolizumab,Anti-integrin,13
Failure of Intended Efficacy ,Adalimumab,Anti-TNF,2
Failure of Intended Efficacy ,Infliximab,Anti-TNF,1
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,1
Failure of Intended Efficacy ,Adalimumab,Anti-TNF,4
Failure of Intended Efficacy ,Infliximab,Anti-TNF,1
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,1
Failure of Intended Efficacy ,Vedolizumab,Anti-integrin,1
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,1
Failure of Intended Efficacy ,Ustekinumab,Anti-IL-12/23,1
Failure of Intended Efficacy ,Infliximab,Anti-TNF,36
Gastrointestinal disorders ,Adalimumab,Anti-TNF,1
Gastrointestinal disorders ,Infliximab,Anti-TNF,2
Gastrointestinal disorders ,Ustekinumab,Anti-IL-12/23,3
Gastrointestinal disorders ,Adalimumab,Anti-TNF,1
Gastrointestinal disorders ,Certolizumab,Anti-TNF,2
Gastrointestinal disorders ,Infliximab,Anti-TNF,6
Gastrointestinal disorders ,Vedolizumab,Anti-integrin,6
Gastrointestinal disorders ,Adalimumab,Anti-TNF,1
Gastrointestinal disorders ,Adalimumab,Anti-TNF,10
Gastrointestinal disorders ,Ustekinumab,Anti-IL-12/23,8
Gastrointestinal disorders ,Infliximab,Anti-TNF,2
Gastrointestinal disorders ,Ustekinumab,Anti-IL-12/23,1
General disorders and administration site conditions,Certolizumab,Anti-TNF,1
General disorders and administration site conditions,Vedolizumab,Anti-integrin,1
General disorders and administration site conditions,Adalimumab,Anti-TNF,2
General disorders and administration site conditions,Infliximab,Anti-TNF,1
General disorders and administration site conditions,Adalimumab,Anti-TNF,1
General disorders and administration site conditions,Certolizumab,Anti-TNF,1
General disorders and administration site conditions,Infliximab,Anti-TNF,4
General disorders and administration site conditions,Vedolizumab,Anti-integrin,2
General disorders and administration site conditions,Adalimumab,Anti-TNF,1
General disorders and administration site conditions,Vedolizumab,Anti-integrin,2
General disorders and administration site conditions,Adalimumab,Anti-TNF,2
General disorders and administration site conditions,Infliximab,Anti-TNF,8
General disorders and administration site conditions,Ustekinumab,Anti-IL-12/23,1
General disorders and administration site conditions,Vedolizumab,Anti-integrin,3
General disorders and administration site conditions,Vedolizumab,Anti-integrin,1
Hepatobiliary disorders,Ustekinumab,Anti-IL-12/23,1
Hepatobiliary disorders,Infliximab,Anti-TNF,1
Infections and infestations ,Adalimumab,Anti-TNF,11
Infections and infestations ,Infliximab,Anti-TNF,8
Infections and infestations ,Tofacitnib,JAK-inhibitor,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,7
Infections and infestations ,Vedolizumab,Anti-integrin,4
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,2
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,5
Infections and infestations ,Ustekinumab,Anti-IL-12/23,2
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Certolizumab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,2
Infections and infestations ,Vedolizumab,Anti-integrin,1
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,4
Infections and infestations ,Tofacitnib,JAK-inhibitor,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Vedolizumab,Anti-integrin,1
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Certolizumab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Adalimumab,Anti-TNF,4
Infections and infestations ,Certolizumab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,4
Infections and infestations ,Ustekinumab,Anti-IL-12/23,3
Infections and infestations ,Adalimumab,Anti-TNF,1
Infections and infestations ,Vedolizumab,Anti-integrin,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Vedolizumab,Anti-integrin,1
Infections and infestations ,Infliximab,Anti-TNF,2
Infections and infestations ,Vedolizumab,Anti-integrin,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Infliximab,Anti-TNF,2
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Ustekinumab,Anti-IL-12/23,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Infliximab,Anti-TNF,1
Infections and infestations ,Vedolizumab,Anti-integrin,1
"Injury, poisoning and procedural complications",Infliximab,Anti-TNF,1
"Injury, poisoning and procedural complications",Infliximab,Anti-TNF,1
Investigations,Infliximab,Anti-TNF,3
Metabolism and nutrition disorders,Adalimumab,Anti-TNF,3
Metabolism and nutrition disorders,Ustekinumab,Anti-IL-12/23,1
Metabolism and nutrition disorders,Vedolizumab,Anti-integrin,2
Metabolism and nutrition disorders,Certolizumab,Anti-TNF,1
Metabolism and nutrition disorders,Infliximab,Anti-TNF,3
Metabolism and nutrition disorders,Ustekinumab,Anti-IL-12/23,4
Metabolism and nutrition disorders,Vedolizumab,Anti-integrin,4
Metabolism and nutrition disorders,Vedolizumab,Anti-integrin,1
Metabolism and nutrition disorders,Ustekinumab,Anti-IL-12/23,1
Musculoskeletal and connective tissue disorders,Adalimumab,Anti-TNF,1
Musculoskeletal and connective tissue disorders,Ustekinumab,Anti-IL-12/23,2
Musculoskeletal and connective tissue disorders,Adalimumab,Anti-TNF,1
Musculoskeletal and connective tissue disorders,Adalimumab,Anti-TNF,1
Musculoskeletal and connective tissue disorders,Vedolizumab,Anti-integrin,1
Musculoskeletal and connective tissue disorders,Vedolizumab,Anti-integrin,1
"Neoplasms benign, malignant and unspecified",Infliximab,Anti-TNF,1
Nervous system disorders,Adalimumab,Anti-TNF,1
Nervous system disorders,Adalimumab,Anti-TNF,3
Nervous system disorders,Adalimumab,Anti-TNF,1
Nervous system disorders,Ustekinumab,Anti-IL-12/23,1
Nervous system disorders,Infliximab,Anti-TNF,1
Nervous system disorders,Ustekinumab,Anti-IL-12/23,1
Nervous system disorders,Vedolizumab,Anti-integrin,1
Nervous system disorders,Infliximab,Anti-TNF,1
Nervous system disorders,Vedolizumab,Anti-integrin,1
Psychiatric disorders,Infliximab,Anti-TNF,1
Psychiatric disorders,Vedolizumab,Anti-integrin,1
Renal and urinary disorders,Adalimumab,Anti-TNF,1
Renal and urinary disorders,Adalimumab,Anti-TNF,1
Renal and urinary disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Infliximab,Anti-TNF,1
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Infliximab,Anti-TNF,2
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Skin and subcutaneous tissue disorders,Adalimumab,Anti-TNF,1
Skin and subcutaneous tissue disorders,Infliximab,Anti-TNF,1
Skin and subcutaneous tissue disorders,Ustekinumab,Anti-IL-12/23,1
Skin and subcutaneous tissue disorders,Vedolizumab,Anti-integrin,1
Vascular disorders,Adalimumab,Anti-TNF,1
Vascular disorders,Infliximab,Anti-TNF,3
Vascular disorders,Ustekinumab,Anti-IL-12/23,1
Vascular disorders,Infliximab,Anti-TNF,2
Vascular disorders,Ustekinumab,Anti-IL-12/23,1
